t_epoch_s,power_mW,gpu_index,source
1766961067.777733,192430,0,nvidia-smi
1766961067.891541,192650,0,nvidia-smi
1766961067.978590,192110,0,nvidia-smi
1766961068.078681,192020,0,nvidia-smi
1766961068.178983,191980,0,nvidia-smi
1766961068.291900,191930,0,nvidia-smi
1766961068.392197,191940,0,nvidia-smi
1766961068.490864,191840,0,nvidia-smi
1766961068.590580,191800,0,nvidia-smi
1766961068.678726,191790,0,nvidia-smi
1766961068.777928,191760,0,nvidia-smi
1766961068.878375,191740,0,nvidia-smi
1766961068.979019,189150,0,nvidia-smi
1766961069.076988,188050,0,nvidia-smi
1766961069.178899,192040,0,nvidia-smi
1766961069.292385,192000,0,nvidia-smi
1766961069.391808,192120,0,nvidia-smi
1766961069.479139,192150,0,nvidia-smi
1766961069.591584,192230,0,nvidia-smi
1766961069.715616,192350,0,nvidia-smi
1766961069.792594,192350,0,nvidia-smi
1766961069.878887,192380,0,nvidia-smi
1766961069.990423,192480,0,nvidia-smi
1766961070.091969,192540,0,nvidia-smi
1766961070.178599,192580,0,nvidia-smi
1766961070.278473,190530,0,nvidia-smi
1766961070.378924,191880,0,nvidia-smi
1766961070.492516,192030,0,nvidia-smi
1766961070.592379,191890,0,nvidia-smi
1766961070.679572,191780,0,nvidia-smi
1766961070.779114,191690,0,nvidia-smi
1766961070.878869,191700,0,nvidia-smi
1766961070.978625,191600,0,nvidia-smi
1766961071.078278,191500,0,nvidia-smi
1766961071.191430,191460,0,nvidia-smi
1766961071.278692,191360,0,nvidia-smi
1766961071.378770,189740,0,nvidia-smi
1766961071.478998,188000,0,nvidia-smi
1766961071.577009,187670,0,nvidia-smi
1766961071.679146,190850,0,nvidia-smi
1766961071.792130,192120,0,nvidia-smi
1766961071.879817,191830,0,nvidia-smi
1766961071.978813,191900,0,nvidia-smi
1766961072.091647,192100,0,nvidia-smi
1766961072.190121,192290,0,nvidia-smi
1766961072.278624,192450,0,nvidia-smi
1766961072.378895,192630,0,nvidia-smi
1766961072.504617,192740,0,nvidia-smi
1766961072.578679,192920,0,nvidia-smi
1766961072.679131,192980,0,nvidia-smi
1766961072.791841,189890,0,nvidia-smi
1766961072.888685,184350,0,nvidia-smi
1766961072.977304,172030,0,nvidia-smi
